篇名,作者,页数,关键词,摘要,filename
一种软硬件结合的大数据访存踪迹收集分析工具集,李作骏:36385165|潘海洋:42060126|陈明宇:33246355|包云岗:41115033,9,访存踪迹; 访存行为; 大数据;,"以Spark为代表的内存计算框架的兴起、新型非易失性内存研究的逐步深入以及数据安全形势的日益严峻,使得现有的访存行为分析工具无法满足对大数据应用访存行为进行分析的需求。提出了一种软硬件结合的大数据访存踪迹收集分析工具集,在由硬件收集的基本访存踪迹的基础上,结合软件信息同步及离线标注的方式,可以高速、准确、无失真地获取具备丰富语义信息的访存行为信息,且为大数据访存的实时安全监控提供了一种实现方式。最后,通过实验对一组真实的大数据应用进行了访存踪迹采集和分析。 ",DSJU201904004
开源芯片、RISC-V与敏捷开发,王诲喆:42357608|唐丹:24247730|余子濠:36396771|刘志刚:41115027|解壁伟:33685213|包云岗:23576764,17,开源芯片; 敏捷开发; 计算机架构; 指令集架构;,"随着摩尔定理的几近失效,传统的追求通用性能的芯片开发策略将难以持续,但芯片领域过高的门槛和商业限制阻碍了进一步的创新和对市场的响应速度。因此需要通过开源芯片、统一的生态平台和现代化的设计方法激发芯片领域的创造力和生产效率。介绍了开源芯片的作用和发展历史,讨论了有望成为下一代芯片开发根基的RISC-V指令集架构的特点和影响以及前端设计中的敏捷开发实践,并对芯片开发的新发展与不足做出了总结。 ",DSJU201904005
基因大数据的集成分析, ,22,GWAS; 集成分析; 多基因效应; 基因多效性; 孟德尔随机化;,"随着生物科技(如基因芯片和测序技术)的飞速发展,全世界已经积累了海量的数据。有效地整合和集成多层面和多维度的基因大数据,对于全方位解析从遗传变异到疾病发生的整个因果链条具有关键作用,可为个性化、精准医疗服务奠定科学的基础。从3个方面对基因大数据的集成分析进行综述:检测风险位点及其功能分析、基因多效性的分析、基于孟德尔随机化的因果推断。进一步结合具体的应用案例进行了阐述,最后对基因大数据的集成分析研究进行了总结以及展望。 ",DSJU201904006
基于RDMA和NVM的大数据系统一致性协议研究,吴昊:08833414|陈康:08225235|武永卫:08183224|郑纬民:05965723,11,大数据; 分布式系统; 一致性协议; 远程内存直接访问; 非易失存储器;,"分布式的存储系统以及计算系统是构造大数据处理系统的基础。系统的高可用性是任何一个分布式系统的基石,高可用技术一般依赖于一致性协议。讨论了经典的非拜占庭的分布式一致性协议以及新技术发展下的RDMA通信协议与NVM存储介质,通过RDMA和NVM的结合获得了更高性能的高可用系统。改进了一致性协议,使其能够更好地利用RDMA与NVM的特性。实现的系统在保证系统数据一致和可用的同时,有效地提高了协议实现的性能。实验表明,相比于现有的系统,实现的系统能够得到40%的性能提高。 ",DSJU201904007
基于知识图谱的小微企业贷款申请反欺诈方案,金磐石:13600377|万光明:38494519|沈丽忠:44613802,13,反欺诈; 企业画像; 关联图谱;,"近年来,在各大商业银行竞相开展小微企业信贷业务的同时,贷款欺诈风险也随之产生。针对小微企业信贷业务的特点,提出了一种基于全方位企业画像与企业关联图谱的贷前反欺诈模型。通过整合多源信息,形成完整的企业属性特征,并结合从图谱中提取的关系网络结构特征,把特征共同输入模型,以定量评估小微企业客户的欺诈风险。实验表明,使用隐含在关系图谱中的信息比单纯使用企业自身特征建模在测试集上的AUC提高了5%,有助于银行机构准确地对企业申贷欺诈行为进行评估。 ",DSJU201904008
广州市城市智能交通大数据体系研究与实践,张孜:42015553|黄钦炎:37483484|冯川:33223506,8,智能交通; 交通大数据体系; 体系框架; 大数据应用;,"为了构建现代化交通治理体系,提升品质交通服务能力,亟须构建强驱动与可持续的城市智能交通大数据体系。首先回顾了城市交通大数据研究的应用现状,然后分析了城市交通大数据的发展需求与目标,最后以广州市城市交通大数据应用为例,阐述了广州市""一个中心、三大平台""的城市智能交通大数据体系,为交通大数据的深入研究和应用提供借鉴,推动交通大数据的创新发展。 ",DSJU201904009
政府大数据治理体系的框架及其实现的有效路径,"安小米1,2:09745655|郭明军1:38470034|洪学海3:11039177|魏玮1:11394408",10,政府大数据; 大数据治理体系; 治理体系框架; 实现路径;,"针对目前大数据治理研究仍局限于从单一学科视角和单一层面进行讨论,缺少对大数据治理体系构建的体系化研究的现状,采用多学科综合集成方法,通过系统文献调研及案例研究的方法,将宏观、中观与微观3个层次的体系构成要素进行了有机融合,提出了宏观层面的多元主体合作联盟共治、中观层面的多层次活动流程联通共生、微观层面的多维度要素联结共赢的大数据治理体系框架及其实现的有效路径,对促进大数据治理体系构成要素的互联、互通、互动,产生整体性、成套性和针对性效用,具有理论意义和实践价值。 ",DSJU201903001
数据整理——大数据治理的关键技术,"杜小勇1,2:09746797|陈跃国1,2:24543793|范举1,2:41735090|卢卫1,2:38103364",10,数据整理; 数据准备; 数据治理; 数据管理;,"数据是政府、企业和机构的重要资源。数据治理关注数据资源有效利用的众多方面,如数据资产确权、数据管理、数据开放共享、数据隐私保护等。从数据管理的角度,探讨了数据治理中的一项关键技术:数据整理。介绍了以数据拥有者和直接使用者(行业用户)为核心的数据整理的关键技术,包括数据结构化处理、数据质量评估及数据清洗、数据规范化、数据融合与摘取、数据整理的发布共享等。最后,针对加强数据整理方面的研究提出了一些思考。 ",DSJU201903002
证券期货行业监管大数据治理方案研究,蒋东兴1:41693687,12,证券期货行业; 大数据治理; 科技监管;,"为充分发挥数据的资产价值,监管部门高度重视大数据治理工作。通过梳理证券期货行业监管大数据治理的需求与特殊性,对证券期货行业的大数据治理体系进行了深入研究,包括构建证券期货行业数据模型、搭建公共数据平台、建设数据服务体系以及构建组织保障体系4个方面。通过大数据工程建设的实施,进一步发现了证券期货行业大数据治理在工程共建共享、数据多源校核方面存在的深层次技术问题,提出了建设超级大数据管理平台、全面保障大数据工程效果的研究思路,为监管决策提供了更为全面、科学、客观的支持。 ",DSJU201903003
“智慧法院”数据融合分析与集成应用,秦永彬1:14022636|冯丽1:06939883|陈艳平1:39335717|黄瑞章1:31170296|刘于雷2:45304767|丁红发1:45689526,12,智慧法院; 知识图谱; 数据融合; 融合分析应用;,"针对""智慧法院""建设中存在的共性问题和实际需求,介绍了""智慧法院""数据融合分析及集成应用示范平台的架构。从司法大数据深度语义学习、基于知识图谱的司法数据融合、司法数据安全防护与隐私保护以及司法数据融合分析的可视化4个方面,探讨了""智慧法院""建设中共性关键技术的研究思路和实现路径。最后,以证据抽取、犯罪行为链构建和法律条文推荐为例,展现了数据融合分析及集成应用示范平台的应用效果。研究成果对实现以法院司法数据为核心的新一代""智慧法院""建设目标具有一定的参考价值。 ",DSJU201903004
大数据治理标准体系研究,代红:33019120|张群:33020795|尹卓:41268386,8,大数据治理; 数据管理; 数据治理; 标准;,"大数据逐步从概念导入期转入深化务实应用的新阶段,大数据治理成为大数据产业生态系统的新热点,其发展亟需标准体系建设基础以及标准化的支撑。梳理了当前我国大数据治理标准化面临的问题,明确了与大数据治理相关的概念和定义,提出了大数据治理标准体系框架,并给出了下一步标准化工作建议,从而帮助业界构建涵盖大数据治理的新大数据标准体系,为我国新一阶段的大数据技术、产业发展提供标准化支撑。 ",DSJU201903005
综合交通大数据应用技术的发展展望,"刘晓波1,2:11064358|蒋阳升1,2:09178687|唐优华1,2:09161676|张仪彬1,2:27171646|王子兰1,2:27201066|罗洁1,2:09179815",14,大数据; 综合交通; 基础技术; 应用技术;,"在移动互联的大数据时代,大数据、人工智能、云计算、物联网、智能终端等先进技术的不断发展,为综合交通的一体化、智能化、智慧化发展提供了坚实的资源和技术支撑。针对现阶段综合交通规划设计、运营管控、安全环保维护、物流服务过程中出现的数据异构质量差、""信息孤岛""、挖掘程度低等症结,对综合交通大数据基础技术与应用技术发展过程中需突破的关键技术点进行分析与展望,为大数据在综合交通中全面、有效、系统地应用提供一定的借鉴与参考。 ",DSJU201903006
